Date,Open,High,Low,Close,Volume,MarCap,매도_금융투자,매수_금융투자,순매수_금융투자,매도_보험,매수_보험,순매수_보험,매도_투신,매수_투신,순매수_투신,매도_사모,매수_사모,순매수_사모,매도_은행,매수_은행,순매수_은행,매도_기타금융,매수_기타금융,순매수_기타금융,매도_연기금 등,매수_연기금 등,순매수_연기금 등,매도_기관합계,매수_기관합계,순매수_기관합계,매도_기타법인,매수_기타법인,순매수_기타법인,매도_개인,매수_개인,순매수_개인,매도_외국인,매수_외국인,순매수_외국인,매도_기타외국인,매수_기타외국인,순매수_기타외국인,매도_전체,매수_전체,순매수_전체,kalman_ma,target,r
2014-01-03,1963.72,1964.63,1936.15,1946.14,188529402,1147185472603763,8370037,3672850,-4697187,2934571,2506556,-428015,4017316,5258432,1241116,1747230,1273614,-473616,650258,597947,-52311,190617,446195,255578,2267846,4815931,2548085,20177875,18571525,-1606350,1085940,1517788,431848,144094544,148522178,4427634,22883908,19641945,-3241963,287135,275966,-11169,188529402,188529402,0,1308.6929801324504,1.0,-0.010758204917580144
2014-01-06,1947.62,1961.85,1943.74,1953.28,193630493,1151821444321770,5916693,3625874,-2290819,2149348,2194784,45436,4714054,5836905,1122851,1141740,1588306,446566,321455,742811,421356,184265,177618,-6647,4706706,4610375,-96331,19134261,18776673,-357588,1188134,1325426,137292,154467387,154648363,180976,18531588,18521901,-9687,309123,358130,49007,193630493,193630493,0,1475.0104309370547,1.0,0.0036620871716681186
2014-01-07,1947.65,1965.74,1947.08,1959.44,193026899,1155148368398739,4397282,2771893,-1625389,2631309,2596892,-34417,4008626,5867447,1858821,928269,1075816,147547,262137,683773,421636,237566,243632,6066,3326785,5926559,2599774,15791974,19166012,3374038,1128421,1710056,581635,154214371,150180240,-4034131,21488945,21741808,252863,403188,228783,-174405,193026899,193026899,0,1577.4042967722785,1.0,0.0031487073388178502
2014-01-08,1965.5,1966.95,1950.02,1958.96,217070410,1155336478303790,4820502,3505739,-1314763,1859109,2415392,556283,4872054,6599412,1727358,1009839,1525295,515456,520082,559572,39490,281430,157394,-124036,3229895,5049731,1819836,16592911,19812535,3219624,1644898,1801144,156246,178365828,173765562,-4600266,19841151,21287974,1446823,625622,403195,-222427,217070410,217070410,0,1646.5602267283132,1.0,-0.00024499795957588647
2014-01-09,1962.3,1964.59,1946.11,1946.11,276402210,1147927559250180,10563357,3576175,-6987182,2885453,3304317,418864,4723307,8054886,3331579,1006522,1872413,865891,470654,937009,466355,199924,628029,428105,4908543,7769309,2860766,24757760,26142138,1384378,1877887,2416644,538757,225658603,220151383,-5507220,23594616,27180214,3585598,513344,511831,-1513,276402210,276402210,0,1694.6510623332358,1.0,-0.006581211799160318
2014-01-10,1949.53,1956.97,1931.16,1938.54,262992551,1143204026271886,9952100,3673164,-6278936,2649290,3401608,752318,3338996,4751246,1412250,1858906,1695250,-163656,667111,594410,-72701,285886,275347,-10539,3735550,6459036,2723486,22487839,20850061,-1637778,1540894,2161418,620524,209916214,212185640,2269426,28564462,27394093,-1170369,483142,401339,-81803,262992551,262992551,0,1730.1847433551084,1.0,-0.003897395946694602
2014-01-13,1947.38,1954.07,1942.83,1948.92,267941941,1148897376233211,3454343,2683495,-770848,2141692,2415093,273401,3439701,5255428,1815727,1195089,1469064,273975,296903,483048,186145,210078,319790,109712,3697108,5030126,1333018,14434914,17656044,3221130,1680729,2461791,781062,231425212,230503685,-921527,19937843,16486024,-3451819,463243,834397,371154,267941941,267941941,0,1759.6529030502822,1.0,0.005340260565196563
2014-01-14,1942.79,1961.73,1939.31,1946.07,244063216,1147401414391738,4049463,2644037,-1405426,3025161,1918048,-1107113,3963519,3879375,-84144,1563395,907266,-656129,365544,461890,96346,181104,119234,-61870,3900654,4518279,617625,17048840,14448129,-2600711,985319,1427490,442171,205280681,207958419,2677738,20173747,18495264,-1678483,574629,1733914,1159285,244063216,244063216,0,1783.2205797822912,1.0,-0.0014634186524887828
2014-01-15,1956.43,1956.84,1945.87,1953.28,250867193,1150706046881217,4447677,2736746,-1710931,1742820,1805584,62764,4844228,5260629,416401,1713961,1162736,-551225,447914,588756,140842,362337,79440,-282897,5263098,5272650,9552,18822035,16906541,-1915494,1339715,1721552,381837,208071900,209359031,1287131,21964851,22392925,428074,668692,487144,-181548,250867193,250867193,0,1803.6357170033123,1.0,0.0036980564539050146
2014-01-16,1957.91,1965.27,1955.79,1957.32,379566979,1152865766372367,3833878,3443468,-390410,2571425,2715506,144081,3766909,5690383,1923474,1074478,1537132,462654,468280,361373,-106907,132801,126315,-6486,4459599,4932586,472987,16307370,18806763,2499393,3069293,1834249,-1235044,336673526,336994935,321409,21436138,20942845,-493293,2080652,988187,-1092465,379566979,379566979,0,1821.3218762059987,1.0,0.002066179838011063
2014-01-17,1958.5,1962.64,1943.13,1944.48,260911125,1145571788453197,2638050,2882990,244940,1985248,2176209,190961,3953290,4404051,450761,1604583,892359,-712224,256456,325015,68559,189267,111077,-78190,2893854,3701098,807244,13520748,14492799,972051,1652114,2170628,518514,224116235,226526898,2410663,21237081,17311318,-3925763,384947,409482,24535,260911125,260911125,0,1835.0140052775305,1.0,-0.006581601491449191
2014-01-20,1945.99,1955.28,1934.38,1953.78,279526953,1150713347726852,2616463,2795842,179379,1672979,1846989,174010,4055278,4583164,527886,907959,1509521,601562,383103,334517,-48586,213617,123866,-89751,3278382,3296040,17658,13127781,14489939,1362158,2119081,2456627,337546,244820851,246223484,1402633,18755269,15631143,-3124126,703971,725760,21789,279526953,279526953,0,1847.8500840518477,1.0,0.004771368581680361
2014-01-21,1955.26,1965.43,1949.56,1963.89,289327346,1156970056444666,3675205,3003855,-671350,1786738,2558030,771292,4441635,5369567,927932,1340992,1723061,382069,435096,454129,19033,161231,139440,-21791,3519585,4145334,625749,15360482,17393416,2032934,1849129,1671943,-177186,251648805,250866097,-782708,19653640,18862742,-790898,815290,533148,-282142,289327346,289327346,0,1860.1048978866288,1.0,0.0051612424950863295
2014-01-22,1960.46,1970.42,1959.57,1970.42,243856768,1160859115058007,4130888,3366410,-764478,2008887,2358293,349406,4990848,6452844,1461996,2008011,1208545,-799466,445362,475265,29903,497023,226375,-270648,3417778,4211296,793518,17498797,18299028,800231,1493382,1848586,355204,202099126,198728524,-3370602,22321539,24545714,2224175,443924,434916,-9008,243856768,243856768,0,1871.5366627261124,1.0,0.0033195177788630467
2014-01-23,1968.77,1969.04,1947.01,1947.59,229385348,1147763644918741,5480447,5062964,-417483,1980381,2223813,243432,5728908,5517343,-211565,1633706,1023625,-610081,363129,349026,-14103,153190,120501,-32689,3204556,3534344,329788,18544317,17831616,-712701,1620189,1808596,188407,182583712,186833583,4249871,26103447,22345033,-3758414,533683,566520,32837,229385348,229385348,0,1879.2967119256914,1.0,-0.011654007207298842
2014-01-24,1941.55,1947.01,1924.49,1940.56,279236727,1145070242199547,3744157,4225857,481700,1886369,3550336,1663967,4392015,6223317,1831302,1611006,1370825,-240181,506882,370451,-136431,247714,123728,-123986,11566037,8479335,-3086702,23954180,24343849,389669,1161295,1771213,609918,225693343,226475222,781879,27732968,25974244,-1758724,694941,672199,-22742,279236727,279236727,0,1885.4688144560942,1.0,-0.0036161195738553527
2014-01-27,1905.91,1918.68,1899.76,1910.34,340433398,1126909521510893,3569380,6081898,2512518,1785079,3442135,1657056,4087707,7829422,3741715,1186104,1968522,782418,493264,676159,182895,372181,311176,-61005,4816501,6001331,1184830,16310216,26310643,10000427,2437330,2497073,59743,285877817,288207674,2329857,35015704,22907747,-12107957,792331,510261,-282070,340433398,340433398,0,1887.948598653103,1.0,-0.015695354527069955
2014-01-28,1907.18,1919.26,1904.05,1916.93,270494957,1131142938801454,6158305,6751604,593299,3317135,2374889,-942246,6355544,7930410,1574866,2899570,2686630,-212940,726432,467569,-258863,760663,186421,-574242,6544155,7986437,1442282,26761804,28383960,1622156,2193642,1859905,-333737,212212784,216971171,4758387,28914669,22820906,-6093763,412058,459015,46957,270494957,270494957,0,1890.8136910960486,1.0,0.003443711320417611
2014-01-29,1925.93,1941.71,1925.52,1941.15,219931029,1145521359203615,6524551,4933902,-1590649,2160165,3394088,1233923,5795246,7329662,1534416,1098774,1736797,638023,386404,558080,171676,626202,226955,-399247,5350061,7647844,2297783,21941403,25827328,3885925,2190661,1945514,-245147,165351615,157180089,-8171526,29813351,34539089,4725738,633999,439009,-194990,219931029,219931029,0,1895.7553398668133,1.0,0.012555632945475341
2014-02-03,1930.09,1931.81,1917.64,1919.96,229649075,1133350197856408,3116329,4477644,1361315,2134440,1931646,-202794,4106684,4839860,733176,1410713,1057095,-353618,200982,627620,426638,177556,182808,5252,3858434,5681165,1822731,15005138,18797838,3792700,1783241,1537922,-245319,180894944,185825248,4930304,31673201,23101892,-8571309,292551,386175,93624,229649075,229649075,0,1898.11804228553,1.0,-0.010976228464311805
2014-02-04,1894.96,1898.08,1885.53,1886.85,250975580,1113660660879131,6618303,6153923,-464380,3675869,2776736,-899133,7013652,8237018,1223366,2468969,1614021,-854948,725946,958474,232528,199516,210935,11419,3628968,8062757,4433789,24331223,28013864,3682641,1930422,1974133,43711,187804328,197691007,9886679,36518326,22804449,-13713877,391281,492127,100846,250975580,250975580,0,1897.0232616458918,1.0,-0.017395580518486074
2014-02-05,1897.95,1901.4,1888.47,1891.32,244028734,1116573655225047,6006021,5001732,-1004289,2213703,2268159,54456,4996046,7398816,2402770,1670046,2398890,728844,246410,733336,486926,194283,229654,35371,5614534,6507136,892602,20941043,24537723,3596680,2159624,1814413,-345211,193027039,194645351,1618312,27500570,22507138,-4993432,400458,524109,123651,244028734,244028734,0,1896.471262566214,1.0,0.0023662260224588984
2014-02-06,1897.35,1910.91,1897.35,1907.89,259440604,1126361442587165,4132372,3735742,-396630,1868975,2868395,999420,5194467,6310643,1116176,1751228,1987718,236490,269275,519559,250284,276274,140710,-135564,4959513,5766961,807448,18452104,21329728,2877624,1977298,1884652,-92646,214619623,213915138,-704485,23997202,21889806,-2107396,394377,421280,26903,259440604,259440604,0,1897.5729814899425,1.0,0.008722921379227661
2014-02-07,1922.45,1923.25,1910.9,1922.5,272962006,1134992271089784,5092961,4639113,-453848,2811668,2719152,-92516,9618020,9525073,-92947,1970084,2149711,179627,647192,397936,-249256,273141,236400,-36741,4735666,6538476,1802810,25148732,26205861,1057129,2084141,2657447,573306,220646256,215552975,-5093281,24608063,27995786,3387723,474814,549937,75123,272962006,272962006,0,1899.9718555256218,1.0,0.007628503025121433
2014-02-10,1928.13,1928.39,1916.4,1923.3,207959262,1135246422754757,4057354,3952266,-105088,2733608,2616832,-116776,3224272,6056539,2832267,1236474,1671490,435016,466345,276436,-189909,120805,121365,560,3899646,5398071,1498425,15738504,20092999,4354495,1801938,1719322,-82616,166367026,166043270,-323756,23619678,19692250,-3927428,432116,411421,-20695,207959262,207959262,0,1902.2121429746694,1.0,0.0004160382815222807
2014-02-11,1924.45,1935.29,1920.55,1932.06,226381214,1140585898578902,3679581,4126923,447342,1473260,2238967,765707,8662491,7171680,-1490811,1453582,1833224,379642,448610,358562,-90048,1102231,87976,-1014255,3442824,6171521,2728697,20262579,21988853,1726274,2831270,1913168,-918102,180753417,181198124,444707,21992913,20878007,-1114906,541035,403062,-137973,226381214,226381214,0,1905.0736091738588,1.0,0.004544330529538706
2014-02-12,1942.23,1942.23,1933.54,1935.84,225374457,1143419058444174,3955000,3318167,-636833,1996441,1903739,-92702,4808161,5606678,798517,1439747,1706259,266512,474507,339744,-134763,196551,147543,-49008,3661313,5649495,1988182,16531720,18671625,2139905,2641250,2047781,-593469,183926301,180778726,-3147575,21888251,23540041,1651790,386935,336284,-50651,225374457,225374457,0,1908.0189763440255,1.0,0.001954549602307755
2014-02-13,1936.62,1944.73,1924.39,1926.96,187857214,1138106027388242,4203676,3574838,-628838,2103920,1578682,-525238,3778484,4441731,663247,2061363,1083941,-977422,296812,356612,59800,134619,90123,-44496,3089267,4574834,1485567,15668141,15700761,32620,1597131,1685855,88724,148294065,150224306,1930241,22060584,19775256,-2285328,237293,471036,233743,187857214,187857214,0,1909.8301693379267,1.0,-0.0045977092486294314
